timestamp,open,high,low,close,volume
2021-11-12,225.2400,226.9900,217.2700,220.9600,37342362
2021-11-05,207.0000,224.5800,206.8100,224.4600,42741866
2021-10-29,213.2500,214.8500,204.6000,207.0300,50400320
2021-10-22,216.0000,218.6600,212.5750,212.9700,36771157
2021-10-15,226.5000,232.1000,216.2800,217.0400,43214745
2021-10-08,225.6800,229.0000,219.2001,226.3900,32054520
2021-10-01,224.0000,229.9399,216.4201,226.0000,55677605
2021-09-24,210.8100,222.6200,206.5300,221.3900,44502176
2021-09-17,211.3500,216.3100,209.8800,213.3600,42354388
2021-09-10,215.9100,216.7100,210.1200,210.3000,38276239
2021-09-03,222.3500,223.8400,217.0854,218.1700,36815114
2021-08-27,215.8300,223.1000,215.3800,221.7500,41889939
2021-08-20,231.9000,232.0300,210.9400,212.6700,50491751
2021-08-13,229.0000,241.1500,226.8900,234.4600,40799964
2021-08-06,227.1900,233.5700,221.3000,231.3300,40396339
2021-07-30,220.0000,237.4900,219.8900,226.4800,55500702
2021-07-23,211.1800,224.6300,204.8000,221.5200,71736815
2021-07-16,237.9900,240.7700,217.0338,217.7400,66880067
2021-07-09,236.8500,240.3800,226.1600,239.5900,52892434
2021-07-02,244.7300,245.0800,233.4700,236.6800,72223611
2021-06-25,238.6600,252.3000,237.2500,248.3800,58600287
2021-06-18,246.4400,249.2000,235.8000,237.3500,53151016
2021-06-11,251.5000,256.3100,245.7800,247.2800,60866402
2021-06-04,253.0000,258.3957,248.4900,249.9200,43584098
2021-05-28,235.1400,252.6000,232.6000,247.0200,59855976
2021-05-21,226.2400,236.3000,220.2800,234.8200,58601038
2021-05-14,236.8400,241.1049,219.0700,228.4700,72684057
2021-05-07,234.1100,237.1000,225.6500,235.4700,67288657
2021-04-30,240.2400,244.6500,231.8000,234.3100,62913466
2021-04-23,247.0000,247.0000,230.2200,238.3800,66987673
2021-04-16,250.5700,258.3700,246.1000,248.1800,63031777
2021-04-09,256.5600,260.4800,249.3100,252.3600,57012176
2021-04-01,251.3000,257.8800,248.0300,252.9600,59849010
2021-03-26,255.8200,257.6699,231.7000,244.8700,105354019
2021-03-19,274.1500,278.5671,251.3100,255.8200,129386733
2021-03-12,226.6700,269.7200,222.5801,269.1900,127994897
2021-03-05,219.6000,237.1027,213.8000,223.2200,106947524
2021-02-26,211.8900,229.6100,206.6000,212.0100,99456154
2021-02-19,213.0800,218.7100,208.0800,217.4700,40877534
2021-02-12,209.5500,217.4900,208.3000,210.9800,49224779
2021-02-05,196.0000,213.1988,192.8600,207.9300,53353893
2021-01-29,203.2650,208.3500,191.8504,194.1900,70323406
2021-01-22,206.9900,215.5900,204.2700,205.8400,40308712
2021-01-15,203.0300,214.1900,201.0100,204.3200,61509432
2021-01-08,210.0000,216.6000,202.4911,209.9000,85384170
2020-12-31,218.1900,221.6800,212.7000,214.0600,44715843
2020-12-24,212.3400,224.4022,211.1000,217.1500,49320188
2020-12-18,235.0000,237.6300,218.6100,219.7500,92661187
2020-12-11,238.5000,244.0800,228.0200,230.3300,105469122
